Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
"Senior Data Scientist, Air",CA$77k-CA$95k (Glassdoor Est.),"ABOUT HOPPER

At Hopper, we’re on a mission to make booking travel faster, easier, and more transparent. We are leveraging the power that comes from combining massive amounts of data and machine learning to build the world’s fastest-growing travel app -- one that enables our customers to save money and travel more. With over $235M CAD in funding from leading investors in both Canada and the US, Hopper is primed to continue its path toward becoming the go-to way to book travel as the world continues its shift to mobile.

Recognized as the fastest-growing travel app by Forbes and one of the world’s most innovative companies by Fast Company two years in a row, Hopper has been downloaded over 40 million times and has helped travelers plan over 100 million trips and counting. The app has received high praise in the form of mobile accolades such as the Webby Award for Best Travel App of 2019, the Google Play Award for Standout Startup of 2016 and Apple’s App Store Best of 2015.

Take off with us!

THE ROLE

Hopper is looking for a data-savvy individual to join our team as a Data Scientist and lead data-centric product development and complex business intelligence projects within our core air travel business unit. Every day you would draw powerful insights from our real-time feed of billions of flight search results and archives of several trillion data points. To succeed at Hopper you need the talent, passion, and experience to thrive in a highly performing company.
IN THIS ROLE YOU WILL:
Frame and conduct complex exploratory analyses needed to deepen our understanding of Hopper users.
Partner with product, business and strategy teams to leverage this user understanding for product improvements and other initiatives
Use machine learning and big data tools on tremendously large and complex data sets to enhance our data-driven, personalized travel advice
Conduct research into various aspects of our business and employ statistical and modeling techniques when appropriate to make recommendations to non-technical stakeholders
Create advanced dashboards for product experiment tracking and business unit performance analysis using Amplitude and Tableau
Find effective ways to simplify and communicate analyses to a non-technical audience.
A PERFECT CANDIDATE HAS:
A degree in Math, Statistics, Computer Science, Engineering or other quantitative disciplines
Extremely strong analytical and problem-solving skills
Proven ability to communicate complex technical work to a non-technical audience
A strong passion for and extensive experience in conducting empirical research and answering hard questions with data
Experience with a data visualization tool (Tableau preferred) and project analysis tool such as Amplitude
Experience with relational databases and SQL, especially Hive
Experience working with extremely large data sets
Experience in Pandas, R, SAS or other tools appropriate for large scale data preparation and analysis
Experience with data mining, machine learning, statistical modeling tools and underlying algorithms
Proficiency with Unix/Linux environments
BENEFITS

• Well-funded and proven startup with large ambitions, competitive salary and stock options
• Dynamic and entrepreneurial team where pushing limits is everyday business
• 100% employer paid medical, dental, vision, disability and life insurance plans
• Access to a 401k (US) or Retirement Savings Plan (Canada)
• Easy commute with a paid-for public transportation or parking pass
• IATA Travel Agent Card for discounts in the travel industry
• Fully stocked kitchen with: coffee/tea, beer, bagels and snacks (both healthy and not-healthy)
• Team lunches, offsite activities and much more!",3.6,"Hopper
3.6",Montreal,"Montreal, Canada",501 to 1000 employees,2007,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,-1
Machine Learning Engineer,CA$77k-CA$95k (Glassdoor Est.),"Machine Learning Engineer - Intermediate, and Senior

Looking for an opportunity to join a great, local success story that hasn't given up the agility and energy of its start-up DNA? MavTek is the trailblazing Montreal-based technology company you haven't heard of until now. We're building the next generation of large-scale e-commerce and content delivery platforms, and yes, it's as much fun as it sounds!

The successful candidate will join the Machine Learning Engineer team.

As a passionate ML Engineer, you will design and build machine learning systems, tools, and validation strategies to support new machine learning applications. You should have a proven history of bringing machine learning initiatives into production, and in generating new ML ideas. You will have the ability to influence your peers and leadership can enable others to adopt your vision. As an ML Engineer, you will collaborate with other Machine Learning Engineers and Data Scientists.

Responsibilities:
Develop and deploy ML/DL models from raw data
Design ML/DL applications that demonstrate the technology's real-world potential
Use best SW Engineering methodologies to implement the applications
Deploy the applications on Cloud to release their full power
Drive your ML/DL projects from proposal to production
Technical Skills:
Good understanding of machine learning theory and mathematical modeling
Ability to develop machine learning models on large and complex data
Practical experience with ML/DL libraries, like Keras/TensorFlow, Torch, Scikit-learn
Intermediate/Advanced programming skills in Python (3+ years), or any other popular programming languages like Java or C++
Good knowledge in Database/Datawarehouse and proficiency in using SQL
Experience with Cloud Computing (1-2 years), like AWS, GCP, Azure
Knowledge in developing micro-service
Data driven mindset
Passionate to design high reliability & high-performance solutions
Personal Skills:
Ability to work both independently and as a member of a team
Good communication skills and initiative is a must
Self-driven individual and able to engage with different teams
Fast learner, high capacity for abstract thinking with hands-on mentality
Curious about new tech and advances in the industry, think further than the solution appears to require
Nice to Have:
Any AWS certificates
Experience in data processing, like using Spark or Flink for ETL jobs
Container experience, like Docker or Kubernates
Familiar with Linux systems and Shell programming
RESTful API and Webserver experience or knowledge
Knowledge in GPU computing
CI/CD knowledge or experience with Jenkins
Good knowledge in GIT
Agile experience
What We Offer:
A dynamic and collaborative environment
Competitive salaries
Catered breakfast and lunch prepared by in-house chef, as well as snacks, coffee and tea
Flex hours and summer hours
Onsite perks such as ping pong tables, PlayStation and more
Referral bonuses
The best corporate events in Montreal
Professional development training and opportunities
A team that has your back
Communicate ideas, updates, or issues to various stakeholders",4.6,"MavTek
4.6",Montreal,"Montreal, Canada",51 to 200 employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"MindGeek, Shopify, Lightspeed"
NLP DATA SCIENCE,CA$77k-CA$95k (Glassdoor Est.),"Ultimate Software continues to invest in a modern, vibrantly growing technology portfolio. We are currently seeking an energetic, analytical, highly detail-oriented individual to work on the Metrics team within the Business Operations department. The Data Scientist will be responsible for cross-functional participation in data analysis, metrics, executive reporting, data validation, and predictive analysis. The individual should have a strong mathematical foundation (proficiency in statistics), analytical mindset, and must be able to thrive with minimal direction and supervision.

Here at Ultimate Software, we truly put our people first. We strongly believe in teamwork, and we encourage and trust our people to reach higher, learn more, and live up to their potential. Ultimate is ranked #1 on Fortune's Best Places to Work in Technology for 2020 and #2 on the 100 Best Companies to Work For list in 2020. Ultimate is also ranked #2 on Fortune’s 75 Best Workplaces for Women and #9 on its Best Workplaces for Diversity list. Learn more about US here:www.ultimatesoftware.com/careers

Primary/Essential Duties and Key Responsibilities:
Serve as an NLP subject matter expert, provide technical assistance, training, consultation
Design NLP applications
Select appropriate annotated datasets for supervised Learning methods
Use effective text representations to transform natural language into useful features
Find and implement the right algorithms and tools for NLP tasks
Develop NLP systems according to requirements
Train the developed model and run evaluation experiments
Perform statistical analysis of results and refine models
Extend ML libraries and frameworks to apply in NLP tasks
Develop system documentation, technical user guides, technical how to videos, user how to videos, policies, procedures and guidelines for team members and business users
Assist and adhere to enforcement of project deadlines and schedules
Build and maintain strong peer relationships within the team and across the organization
Preferred Qualifications:
10 years of relevant work experience
Proven experience as an NLP Engineer or similar role
Understanding of NLP techniques for text representation, semantic extraction techniques, data structures and modeling
Ability to effectively design software solutions using NLP techniques
Deep understanding of text representation techniques (such as n-grams, bag of words, sentiment analysis etc), statistics and classification algorithms
Strong familiarity with NLP, Deep Learning, neural network architectures including CNNs, RNNs, Embeddings, Transfer Learning and Transformers, and Attention-based Networks.
Knowledge of Python and Java
Experience with machine learning frameworks (like Tensorflow, Keras, or PyTorch) and libraries (like scikit-learn)
An analytical mind with problem-solving abilities
Ability to write robust and testable code
Strong communication skills
Education Qualifications:
PhD or Masters degree in Computer Science, Mathematics, Computational Linguistics or similar field
Strong emphasis on Data Science, NLP, ML, and Deep Learning
Travel Requirements:
No travel
This job description has been written to provide an accurate reflection of the current job and to include the general nature of work performed. It is not designed to contain a comprehensive detailed inventory of all duties, responsibilities, and qualifications required of the employees assigned to the job. Management reserves the right to revise the job or require that other or different tasks be performed when circumstances change.

Ultimate Software will reasonably accommodate employees with disabilities as defined by the Rehabilitation Act of 1973, the Americans with Disabilities Act (ADA) and other appropriate statutes. If you are an applicant and need a reasonable accommodation when applying for job opportunities within the Company or request a reasonable accommodation to utilize the Company’s online employment application, please contactaccessibility@ultimatesoftware.com.

Beware of phishing or suspicious messages that appear to come from a trusted or known source and that asks for personal information, account information or requests that you send money to cover expenses associated with a job or otherwise. Ultimate Software does not ask for this information from our job applicants or candidates and never asks for any applicant or candidate to send money.

It has come to our attention that some people have been contacted online by persons impersonating job recruiters for Ultimate Software. These fraudulent“recruiters” have used Gmail accounts to contact, and have requested personal information, such as depositing a check to purchase work-related supplies. These are not legitimate recruiters or job offers, and do not represent Ultimate Software. To safely apply for and view open positions at Ultimate Software, please click“Apply"" and follow the instructions. Note that our recruiter emails always come from an official ultimatesoftware.com email address.

If you suspect you have been the victim of this or a related fraud, immediately contact your financial institution, and then file a complaint with the FBI’s Internet Crime Complaint Center at www.ic3.gov. If you shared other personal or sensitive information, you may need to take additional actions relative to what was shared. Your local law enforcement department may also be able to assist. For any general security related questions regarding Ultimate, feel free to email security@ultimatesoftware.com.",4.5,"Ultimate Software
4.5",Toronto,"Weston, FL",5001 to 10000 employees,1990,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (CAD),"ADP, Workday"
Sr. Data Scientist - Application,CA$77k-CA$95k (Glassdoor Est.),"About Fusion Analytics


We believe in a future where analytics takes the lead role in steering organizations, and that Fusion is positioned as the leading consulting firm for this transformation. Founded in 2005, we are now 30 consultants and will be growing to 50 in the next 3 years. To make this happen we are looking for extremely smart people to join us. Our current client list is a who’s who of amazing companies, including Budweiser, Sobey's, Staples, IKEA, Walmart and Canadian Tire. We love what we do and know you will too.


What makes this role unique

You will become a master in data science, statistical modelling & analytics
Exposure to Canada’s largest and most successful companies
Opportunity for aggressive promotion as we build our team
Work with the smartest team of data scientists in the country
Contribution to company success is encouraged from day one
No politics and we work hard for everyone to succeed
Highly supportive work culture (learn more at
http://www.fusionanalytics.com/team.html
).
Team builders (e.g. BBQs, board game nights)
Equal opportunity employer


Examples of typical projects

Develop a complex analytical model to help a national home decor retailer optimize their business operation
Build an integrated media mix model for a $20 billion international retailer
Work with a major national retailer to develop a predictive model to measure, monitor and forecast key industry indicators


Requirements

A Masters or undergraduate degree with knowledge in data science (Mathematics, Statistics, Engineering, Finance, Science)
3+ years of professional experience related to data science, modelling and analytics
Strong technical skill in data modelling, machine / deep learning models (R, Python, Power Pivot, Power BI)
Strong sense of curiosity, with advanced critical thinking and analytical skills
Passionate about problem-solving and will rise to any challenge
Track record in doing excellent work in a high pressure and fast paced environment


Compensation

Competitive top-tier data scientist level salary
Health & dental benefits for spouse and dependents
Share options at the management level


Start Date

Flexible start dates through 2019 and 2020


Application Deadline

Ongoing


How to Apply

Apply with a PDF copy of your resume and undergraduate transcript.
Please name all files ((applicant name)) - ((document)) for example John Doe - Transcript.pdf.
Your resume should highlight your education, your overall GPA at each academic level, academic scholarships/awards, analytical experience (labeled as Analytical Experience), and other experience (labeled as Other Experience).
We define analytical experience in its broadest sense (working in a medical lab doing tests, software programming, robotic design, engineering projects, financial modeling, etc.).",4.8,"Fusion Analytics
4.8",Toronto,"Toronto, Canada",1 to 50 employees,2006,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
Educational Data Scientist,CA$77k-CA$95k (Glassdoor Est.),"Prodigy Education connects students, parents, teachers and school districts with resources that promote a lifelong love of learning. Anyone with an internet connection is welcome to create a free account and try the most effective and engaging K-8 math platform in the world. Our business model helps us connect with youth around the world, with over 50 million students now voluntarily practicing math every single day — and enjoying it!

At Prodigy Education, we have an incredible team that works tirelessly to turn our goal of making education a human right into a reality. We are immensely grateful for our amazing team and all they do every day. We welcome people who share our passion to join our team, where you will have the opportunity to help an entire generation of students to LOVE learning.

Our passion is our mission - to help every student in the world love learning!
Overview:
How do children learn new skills math skills? Is there an optimal learning path through classroom topics that can enhance scholastic progression? How do we identify moments of frustration and failure in a student's learning progression, and select the most effective intervention for levelling up a student's abilities?

Here at Prodigy, our Education team is busy trying to answer these and other similar questions about how young students learn math. We are working on new and interesting approaches for quantifying human behaviour, specifically in the domain of learning and Educational Data Mining. Your work will help us to improve how our students learn, considering factors like the quality and structure of our content, parent and teacher engagement, and human cognition and development! The work we do at Prodigy can help shape a student's learning path early in life, and we take that very seriously and hope you will too.
Your Impact:
Help our Education team better understand how our students learn
Evaluate the quality and impact of our educational content
Develop and evaluate models of student learning and performance
Help design, execute, and evaluate A/B tests to assist our Product teams in developing education content and tools
Who You Are:
Graduate degree in Educational Data Mining, Mathematics, Computer Science, Engineering, Neuroscience, Psychology, Behavioural Sciences, or related fields
Research-level expertise in analyzing how children learn and / or how to best teach them
At least 2 years of data analytics experience
Proficiency in Python and SQL (bonus points for R)
Experience working with machine learning algorithms and / or cloud platforms like AWS
Ability to oversee and work simultaneously on different projects with a variety of timelines
Ability to translate data insights into actionable steps
Love for our mission of helping kids everywhere enjoy learning
Bonus Points For:
Experience in cloud ecosystems and their data tooling (AWS, GCP)
Demonstrated ability to solve hard mathematical, algorithmic, and statistical problems
Significant accomplishments that required both technical and strategic capabilities, such as research projects, open-source software contributions, and entrepreneurship
What We Offer:
The opportunity to build a career of value and witness first hand the impact Prodigy has as the most engaging math platform in the world!
A culture of transparency, where team members are involved in important conversations
No micromanaging here! We believe in our employees skills and abilities, we encourage you to bring new innovative ideas to your team
Full health benefits from day one (1) for you and your family, fully covered! Nothing is ever taken off your pay cheque
We are a profitable company, with eligibility to participate in stock options for all employees
Late or early riser? We understand! We offer flexible working hours that allow you to schedule your 8 hour day with a bit more flexibility. We do have core office hours, This is to ensure team members can be present for important meetings and department needs. Here are our core office hours (core office hours of 10:30am - 3:00pm)
Feel like a different work environment? Work from home 1x a week!
Team building events that not only include you as a Prodigy employee, but your significant other and children as well
Company pizza lunch every second week for ‘All Hands’, where we discuss important Prodigy milestones
Do you need some fun to help break up your day? We have that covered! Join in some Ping Pong games, Smash Bros competitions or board games!
We are an equal opportunity employer and are committed to providing employment accommodation in accordance with the Ontario Human Rights Code and the Accessibility for Ontarians with Disabilities Act, 2005 (AODA). Prodigy Game will provide accommodations to job applicants with disabilities throughout the recruitment process. If you require an accommodation, please notify us and we will work with you to meet your needs.",4.4,"Prodigy Game
4.4",Oakville,"Oakville, Canada",201 to 500 employees,2011,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,CA$77k-CA$95k (Glassdoor Est.),"At Wish, our Data Science & Engineering team is comprised of Data Scientists, Data Analysts & Data Engineers who focus on centralizing corporate data in order to gain insights, knowledge and scalability, that empower a proactive and rigorous analysis of key business indicators. Our mission is to derive wisdom from data via the application of Data Science.

Wish has exciting opportunities for talented Data Scientists to form the foundation of our centralized data science team. Successful candidates will have extensive backgrounds in a quantitative fields and s track record of using data to drive the understanding, growth, and the success of a product. As a member of this team, you will be empowered and motivated to drive business impact through data.

As a Data Scientist at Wish, you will:
Apply statistics techniques to improve Wish’s experimentation platform and process.
Apply economics methodologies to understand and improve Wish’s two-sided marketplace.
Apply optimization techniques to improve Wish’s logistics and overall user experiences.
Apply machine learning techniques to improve Wish’s product and operation.
Required Skills & Experience:
Advanced degree in a quantitative field.
A minimum of 3 years of Data Science experience in technology or research industry.
Proficient in Python or R
Preferred skills:
Demonstrated track record of successful projects in applying quantitative techniques to improve a product or business.
5+ years work experience in technology or research industry.
Domain expert in one of the fields: statistics, machine learning, optimization, and economics.
Why Wish:

Wish is transforming the way the world shops by offering a convenient and personalized mobile shopping experience. Our mission is to offer an unlimited selection of affordable quality goods to be accessible for everyone on a global scale. We bring together world-class technical talent with a passion for connecting relevant products to relevant people.

Learn more about us:
Intro to Wish
Our CEO discusses Wish
Crunchbase
Recruiting Video

Wish values diversity and is committed to creating an inclusive work environment. We provide equal employment opportunity for all applicants and employees. We do not discriminate based on any legally-protected class or characteristic. Employment decisions are made based on qualifications, merit, and business needs. If you need assistance or accommodation due to a disability, please let your recruiter know. For job positions in San Francisco, CA, and other locations where required, we will consider for employment qualified applicants with arrest and conviction records.


Individuals applying for positions at Wish, including California residents, can see our privacy policy here.",3.4,"Wish
3.4",Toronto,"San Francisco, CA",501 to 1000 employees,2011,Company - Private,Other Retail Shops,Retail,$2 to $5 billion (CAD),-1
Data Scientist,CA$77k-CA$95k (Glassdoor Est.),"Data Scientist - 64022

YOU’LL LEVERAGE DATA TO IMPACT GLOBAL BUSINESSES
Nielsen Precima is a global strategy and analytics company that provides tailored, data-driven solutions that drive sales, boost profitability, and build customer loyalty. Leveraging our deep analytics expertise, Precima helps organizations improve their competitive position across all facets of planning and operations from assortment optimization, price optimization, promotional optimization, targeted marketing, and supplier collaboration.

This role is an integral part of the Central Analytical Team. The successful candidate will have relevant retail and B2B industry experience and strong capabilities in statistical and mathematical modeling in advanced analytics applications. This role will have the opportunity to grow within the role and progress toward future career development objectives along a number of potential paths including a focus on deeper analyses and model development, client relationship management, and/or marketing. This role is key to ensuring that Precima delivers products/services and solutions that meet clients’ needs for tactics that increase sales and profits - and in an on-time/on budget capacity - which support client results and satisfaction and revenue retention/growth.

WHAT YOU’LL DO:
Implement, score, and maintain advanced statistical and mathematical models and customer segmentations.
Produce accurate statistical analysis and ensure high quality of the data analysis produced
Interpret, document and present/communicate analytical results to multiple business disciplines, providing conclusions and recommendations based off customer-centric data
Take analytical objectives and define data requirements. Extract, clean, and transform customer and item-level data for purposes of analysis, modeling/segmentation and reporting
Hands-on data extraction and reporting off customer database
Participate in special projects and ad-hoc as required
WE’RE LOOKING FOR PEOPLE WHO HAVE:
Master’s Degree Math/Statistics, Computer Science, Economics, Industrial Engineering
Minimum of 1-2 years of directly related work or intern experience in quantitative analysis with proven results in leveraging customer/transaction to address business objectives through a structured analysis - leading to insights and recommendations.
Experience in retail and/or CPG is strongly preferred.
Strong in statistical techniques and the willingness to learn and champion methodologies for customer analysis
Highly proficient in SQL and Python
Ability to translate business objectives into analytical plan/framework, conducting the analysis and interpreting data to derive insights and interpret results to develop and communicate recommendations to internal teams - and then to clients.
Ability to translate statistical and analytical results into clear written and verbal communication to internal/external stakeholders
Excellent ability to be part of multiple projects/initiatives of varying size and complexity, while simultaneously meeting and exceeding deadlines in a diverse environment
Strong team player and ability to work in a collaborative environment
Strong interpersonal skills including written and oral communication #LI-AK3
ABOUT NIELSEN PRECIMA
Nielsen Precima is a wholly owned business unit of Nielsen. Nielsen invented the very concept of market share. Today, our data and insights continue to provide the essential foundation that make markets possible in the rapidly evolving world of commerce. Modern consumers have access to more choices via more channels than ever before.

We’re in tune with what the world is watching, buying, and everything in between. If you can think of it, we’re measuring it. We sift through the small stuff and piece together big pictures to provide a comprehensive understanding of what’s happening now and what’s coming next for our clients. Today’s data is tomorrow’s marketplace revelation.

We like to be in the middle of the action. That’s why you can find us at work in over 100 countries. From global industry leaders to small businesses, consumer goods to media companies, we work with them all. We’re bringing in data 24/7 and the possibilities are endless. See what’s next with us at Nielsen: careers.nielsen.com

Job Type: Regular

Primary Location: Toronto,Ontario",3.6,"Nielsen
3.6",Toronto,"New York, NY",10000+ employees,1923,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (CAD),-1
Product Data Scientist,CA$77k-CA$95k (Glassdoor Est.),"Coffee Meets Bagel

Coffee Meets Bagel's mission is to inspire singles to share and connect authentically. The app curates quality matches with fuller profiles that result in real conversations. Globally, CMB has generated millions of real dates and thousands of lasting relationships. Coffee Meets Bagel was named one of the Top 10 Dating apps by Time Magazine and the Best Dating App for Women by Refinery29. It has also been voted the #1 recommended dating app for singles looking for relationships.

Job description

Each day, our users visit our app with the hope of connecting authentically with someone. These interactions generates millions of data points that can be used to help us better understand our customers’ experiences. We need you to ask and answer the questions that will transform this data into a better understanding of what our customers find delightful and what they find painful so that you can help drive changes that further our vision of helping singles form meaningful connections with other amazing singles!

The Senior Product Analyst will be responsible for partnering with our product and growth teams to provide the facts needed to make better decisions and a well thought point of view to help push our products and services to better serve our customers. You will be responsible for building a strong understand of our ecosystem, working with the product team to determine which projects are the most important, and being willing to use the right tool (a scripted model, a dashboard, a presentation) to find and explain the relevant and timely findings that help us operate better.


Responsibilities
Work cross-functionally with product, design, finance, and engineering teams to provide data-driven insights that will help define the product & marketing roadmap and drive significant increase in core business KPIs (growth, revenue, engagement)
Create internal dashboards to monitor the health of the product and business KPIs (growth, revenue, engagement).
Deliver ad-hoc analyses and reports to support business needs, investigate, triage and resolve metrics-based issues without heavy guidance
Assist in feature development from ideation to execution, including helping with user research, designing and analyzing A/B tests, and running deep analysis of feature performance post launch
Create and share compelling presentations that motivates and inspires the team to build with conviction
When necessary, build models in R, Python, or other systems that help us better measure and understand the results of experiments or user flows.
Qualifications
Bachelors and 3+ years post-collegiate work experience as a product/marketing analyst or data scientist
Experience designing and reading out experiments
Expert level in SQL & business intelligence tools (e.g., Mode, Tableau, etc)
Competency in R, Python, or another scripting language
Strong analytical skills, with experience solving ambiguous problems using data
Ability to analyze data and condense data to tell a persuasive story
Proven ability to effectively communicate with cross functional teams
Self-starter, with ability to thrive in a dynamic, fast-paced environment, drive change through influence, and collaborate effectively with a variety of cross-functional stakeholders. Excited and hungry to try new tools and processes to achieve results.
Passionate about building delightful products for our customers.",4.2,"Coffee Meets Bagel
4.2",Toronto,"San Francisco, CA",51 to 200 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (CAD),-1
Data Scientist I,CA$77k-CA$95k (Glassdoor Est.),"Terms of employment: Full time, permanent

Job location: 510 West Georgia Street, Vancouver, V6B 0M3


As a Machine Learning Scientist, you will work with software developers and other teams to design and implement NLU models for how customers use and interact with smart devices in their homes. You will help lay the foundation to move from directed device interactions to learned behaviors that enable Alexa to proactively take action on behalf of the customer. And, you will have the satisfaction of working on a product your friends and family can relate to, and want to use every day. Like the world of smart phones less than 10 years ago, this is a rare opportunity to have a giant impact on the way people live.

Salary $71,700 to $119,700/yr, commensurate with experience.


Basic Qualifications

· Master or PhD in Computer Science, Machine Learning, Statistics or a related quantitative field.
· 2+ years of hands-on experience in applied machine learning, and predictive modeling and analysis.
· Algorithm and model development experience for large-scale applications
· Experience using Python, or other programming or scripting language, as well as with R, MATLAB.
· Solid understanding of foundational statistics concepts, NLU and ML algorithms: linear/logistic regression, random forest, boosting, GBM, NNs, etc.
Language required for job: English



Preferred Qualifications

All applicants must meet qualifications above.


Benefits: Amazon provides a full range of benefits for our global employees and their eligible family members. Eligible employees may also receive signing bonuses and Amazon Restricted Stock Units. This position is eligible for further pay increases and bonuses at the company's discretion. While they might vary from location to location, Amazon benefits for Canada may include:

· Health Care
· Savings Plans
· Income Protection
· Paid Time Off
· Employee Stock
· Signing Bonuses

Amazon offers competitive packages, growth potential and a challenging and exciting work environment. Amazon and its affiliates are Equal Opportunity Employers. Visit www.Amazon.com/careers for more information.",3.9,"Amazon
3.9",Vancouver,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (CAD),"Google, Microsoft, Walmart"
Data Scientist,CA$77k-CA$95k (Glassdoor Est.),"We are looking for a data scientist that will help us discover the information hidden in vast amounts of data. Your primary focus will be in applying data mining techniques, doing statistical analysis, time series, mathematical analysis and building high-quality prediction systems integrated with our products. This position will be based out Thorold, ON.

Primary Goals:
Responsible for selecting features, building and optimizing classifiers using machine learning techniques;
Responsible for data mining using state-of-the-art methods;
Responsible for enhancing data collection procedures to include information that is relevant for building analytic systems;
Responsible for processing, cleansing, and verifying the integrity of data used for analysis;
Responsible for doing ad-hoc analysis and presenting results in a clear manner;
Responsible for developing custom data models and algorithms to apply to data sets;
Responsible for developing processes and tools to monitor and analyze model performance and data accuracy;
Responsible for working with stakeholders within the organization to identify opportunities for leveraging company data to optimize different solutions from observed trends.
Requirements:
At least two years of experience dealing with real-world data, coding in the industry;
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc;
Knowledge and experience in statistical and data mining techniques using time series datasets, sensor fusion datasets, Bayesian Probability, Markov Models(HMM);
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modelling, clustering, decision trees, neural networks, etc;
Capacity of analyzing data from 3rd party providers like Herd Management S/W such as HerdMertics and Dairy comp etc;
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc;
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc;
Excellent written and verbal communication skills for coordinating across teams;
Basic Knowledge of the Dairy Industry considered an asset;
Basic Knowledge of Image processing and OpenCV considered an asset;
Master’s or Ph.D. in Statistics, Mathematics, Computer Science or another quantitative field.
About SomaDetect

SomaDetect is a precision dairy technology company with offices in Fredericton, NB, Buffalo, NY and Thorold, ON. Founded in Fredericton, New Brunswick in 2016, SomaDetect has designed and produced an in-line sensor that measures critical indicators of dairy-quality from every cow at every milking. Our technology uses no consumables, chemicals, or cartridges, and with no lost milk. For more information, visit www.somadetect.com",-1,SomaDetect,Thorold,"Fredericton, Canada",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
